,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E09000002,Barking and Dagenham,14,2020-03-19 13:55:00.000000
1,E09000003,Barnet,27,2020-03-19 13:55:00.000000
2,E08000016,Barnsley,6,2020-03-19 13:55:00.000000
3,E06000022,Bath and North East Somerset,3,2020-03-19 13:55:00.000000
4,E06000055,Bedford,1,2020-03-19 13:55:00.000000
5,E09000004,Bexley,17,2020-03-19 13:55:00.000000
6,E08000025,Birmingham,25,2020-03-19 13:55:00.000000
7,E06000008,Blackburn with Darwen,1,2020-03-19 13:55:00.000000
8,E06000009,Blackpool,4,2020-03-19 13:55:00.000000
9,E08000001,Bolton,7,2020-03-19 13:55:00.000000
10,E06000058,"Bournemouth, Christchurch and Poole",7,2020-03-19 13:55:00.000000
11,E06000036,Bracknell Forest,3,2020-03-19 13:55:00.000000
12,E08000032,Bradford,8,2020-03-19 13:55:00.000000
13,E09000005,Brent,45,2020-03-19 13:55:00.000000
14,E06000043,Brighton and Hove,11,2020-03-19 13:55:00.000000
15,E06000023,"Bristol, City of",12,2020-03-19 13:55:00.000000
16,E09000006,Bromley,32,2020-03-19 13:55:00.000000
17,E10000002,Buckinghamshire,27,2020-03-19 13:55:00.000000
18,E08000002,Bury,7,2020-03-19 13:55:00.000000
19,E08000033,Calderdale,3,2020-03-19 13:55:00.000000
20,E10000003,Cambridgeshire,14,2020-03-19 13:55:00.000000
21,E09000007,Camden,30,2020-03-19 13:55:00.000000
22,E06000056,Central Bedfordshire,6,2020-03-19 13:55:00.000000
23,E06000049,Cheshire East,8,2020-03-19 13:55:00.000000
24,E06000050,Cheshire West and Chester,5,2020-03-19 13:55:00.000000
25,E06000052,Cornwall and Isles of Scilly,10,2020-03-19 13:55:00.000000
26,E06000047,County Durham,3,2020-03-19 13:55:00.000000
27,E08000026,Coventry,4,2020-03-19 13:55:00.000000
28,E09000008,Croydon,32,2020-03-19 13:55:00.000000
29,E10000006,Cumbria,34,2020-03-19 13:55:00.000000
30,E06000005,Darlington,2,2020-03-19 13:55:00.000000
31,E06000015,Derby,11,2020-03-19 13:55:00.000000
32,E10000007,Derbyshire,27,2020-03-19 13:55:00.000000
33,E10000008,Devon,25,2020-03-19 13:55:00.000000
34,E08000017,Doncaster,3,2020-03-19 13:55:00.000000
35,E06000059,Dorset,5,2020-03-19 13:55:00.000000
36,E08000027,Dudley,10,2020-03-19 13:55:00.000000
37,E09000009,Ealing,42,2020-03-19 13:55:00.000000
38,E06000011,East Riding of Yorkshire,10,2020-03-19 13:55:00.000000
39,E10000011,East Sussex,8,2020-03-19 13:55:00.000000
40,E09000010,Enfield,27,2020-03-19 13:55:00.000000
41,E10000012,Essex,27,2020-03-19 13:55:00.000000
42,E08000037,Gateshead,1,2020-03-19 13:55:00.000000
43,E10000013,Gloucestershire,12,2020-03-19 13:55:00.000000
44,E09000011,Greenwich,19,2020-03-19 13:55:00.000000
45,E09000012,Hackney and City of London,29,2020-03-19 13:55:00.000000
46,E06000006,Halton,4,2020-03-19 13:55:00.000000
47,E09000013,Hammersmith and Fulham,25,2020-03-19 13:55:00.000000
48,E10000014,Hampshire,77,2020-03-19 13:55:00.000000
49,E09000014,Haringey,29,2020-03-19 13:55:00.000000
50,E09000015,Harrow,40,2020-03-19 13:55:00.000000
51,E06000001,Hartlepool,1,2020-03-19 13:55:00.000000
52,E09000016,Havering,7,2020-03-19 13:55:00.000000
53,E06000019,"Herefordshire, County of",3,2020-03-19 13:55:00.000000
54,E10000015,Hertfordshire,50,2020-03-19 13:55:00.000000
55,E09000017,Hillingdon,21,2020-03-19 13:55:00.000000
56,E09000018,Hounslow,24,2020-03-19 13:55:00.000000
57,E06000046,Isle of Wight,2,2020-03-19 13:55:00.000000
58,E09000019,Islington,29,2020-03-19 13:55:00.000000
59,E09000020,Kensington and Chelsea,55,2020-03-19 13:55:00.000000
60,E10000016,Kent,21,2020-03-19 13:55:00.000000
61,E06000010,"Kingston upon Hull, City of",1,2020-03-19 13:55:00.000000
62,E09000021,Kingston upon Thames,7,2020-03-19 13:55:00.000000
63,E08000034,Kirklees,2,2020-03-19 13:55:00.000000
64,E08000011,Knowsley,1,2020-03-19 13:55:00.000000
65,E09000022,Lambeth,61,2020-03-19 13:55:00.000000
66,E10000017,Lancashire,15,2020-03-19 13:55:00.000000
67,E08000035,Leeds,12,2020-03-19 13:55:00.000000
68,E06000016,Leicester,3,2020-03-19 13:55:00.000000
69,E10000018,Leicestershire,14,2020-03-19 13:55:00.000000
70,E09000023,Lewisham,22,2020-03-19 13:55:00.000000
71,E10000019,Lincolnshire,7,2020-03-19 13:55:00.000000
72,E08000012,Liverpool,12,2020-03-19 13:55:00.000000
73,E06000032,Luton,3,2020-03-19 13:55:00.000000
74,E08000003,Manchester,18,2020-03-19 13:55:00.000000
75,E06000035,Medway,4,2020-03-19 13:55:00.000000
76,E09000024,Merton,34,2020-03-19 13:55:00.000000
77,E06000002,Middlesbrough,0,2020-03-19 13:55:00.000000
78,E06000042,Milton Keynes,4,2020-03-19 13:55:00.000000
79,E08000021,Newcastle upon Tyne,13,2020-03-19 13:55:00.000000
80,E09000025,Newham,23,2020-03-19 13:55:00.000000
81,E10000020,Norfolk,4,2020-03-19 13:55:00.000000
82,E06000012,North East Lincolnshire,0,2020-03-19 13:55:00.000000
83,E06000013,North Lincolnshire,1,2020-03-19 13:55:00.000000
84,E06000024,North Somerset,4,2020-03-19 13:55:00.000000
85,E08000022,North Tyneside,7,2020-03-19 13:55:00.000000
86,E10000023,North Yorkshire,11,2020-03-19 13:55:00.000000
87,E10000021,Northamptonshire,15,2020-03-19 13:55:00.000000
88,E06000057,Northumberland,4,2020-03-19 13:55:00.000000
89,E06000018,Nottingham,14,2020-03-19 13:55:00.000000
90,E10000024,Nottinghamshire,28,2020-03-19 13:55:00.000000
91,E08000004,Oldham,12,2020-03-19 13:55:00.000000
92,E10000025,Oxfordshire,34,2020-03-19 13:55:00.000000
93,E06000031,Peterborough,2,2020-03-19 13:55:00.000000
94,E06000026,Plymouth,5,2020-03-19 13:55:00.000000
95,E06000044,Portsmouth,4,2020-03-19 13:55:00.000000
96,E06000038,Reading,5,2020-03-19 13:55:00.000000
97,E09000026,Redbridge,7,2020-03-19 13:55:00.000000
98,E06000003,Redcar and Cleveland,1,2020-03-19 13:55:00.000000
99,E09000027,Richmond upon Thames,7,2020-03-19 13:55:00.000000
100,E08000005,Rochdale,6,2020-03-19 13:55:00.000000
101,E08000018,Rotherham,4,2020-03-19 13:55:00.000000
102,E06000017,Rutland,0,2020-03-19 13:55:00.000000
103,E08000006,Salford,4,2020-03-19 13:55:00.000000
104,E08000028,Sandwell,6,2020-03-19 13:55:00.000000
105,E08000014,Sefton,4,2020-03-19 13:55:00.000000
106,E08000019,Sheffield,36,2020-03-19 13:55:00.000000
107,E06000051,Shropshire,3,2020-03-19 13:55:00.000000
108,E06000039,Slough,13,2020-03-19 13:55:00.000000
109,E08000029,Solihull,1,2020-03-19 13:55:00.000000
110,E10000027,Somerset,7,2020-03-19 13:55:00.000000
111,E06000025,South Gloucestershire,9,2020-03-19 13:55:00.000000
112,E08000023,South Tyneside,2,2020-03-19 13:55:00.000000
113,E06000045,Southampton,4,2020-03-19 13:55:00.000000
114,E06000033,Southend-on-Sea,5,2020-03-19 13:55:00.000000
115,E09000028,Southwark,70,2020-03-19 13:55:00.000000
116,E08000013,St. Helens,2,2020-03-19 13:55:00.000000
117,E10000028,Staffordshire,14,2020-03-19 13:55:00.000000
118,E08000007,Stockport,10,2020-03-19 13:55:00.000000
119,E06000004,Stockton-on-Tees,6,2020-03-19 13:55:00.000000
120,E06000021,Stoke-on-Trent,1,2020-03-19 13:55:00.000000
121,E10000029,Suffolk,10,2020-03-19 13:55:00.000000
122,E08000024,Sunderland,3,2020-03-19 13:55:00.000000
123,E10000030,Surrey,39,2020-03-19 13:55:00.000000
124,E09000029,Sutton,12,2020-03-19 13:55:00.000000
125,E06000030,Swindon,3,2020-03-19 13:55:00.000000
126,E08000008,Tameside,12,2020-03-19 13:55:00.000000
127,E06000020,Telford and Wrekin,0,2020-03-19 13:55:00.000000
128,E06000034,Thurrock,2,2020-03-19 13:55:00.000000
129,E06000027,Torbay,6,2020-03-19 13:55:00.000000
130,E09000030,Tower Hamlets,25,2020-03-19 13:55:00.000000
131,E08000009,Trafford,14,2020-03-19 13:55:00.000000
132,E08000036,Wakefield,5,2020-03-19 13:55:00.000000
133,E08000030,Walsall,14,2020-03-19 13:55:00.000000
134,E09000031,Waltham Forest,14,2020-03-19 13:55:00.000000
135,E09000032,Wandsworth,59,2020-03-19 13:55:00.000000
136,E06000007,Warrington,4,2020-03-19 13:55:00.000000
137,E10000031,Warwickshire,10,2020-03-19 13:55:00.000000
138,E06000037,West Berkshire,3,2020-03-19 13:55:00.000000
139,E10000032,West Sussex,10,2020-03-19 13:55:00.000000
140,E09000033,Westminster,68,2020-03-19 13:55:00.000000
141,E08000010,Wigan,4,2020-03-19 13:55:00.000000
142,E06000054,Wiltshire,9,2020-03-19 13:55:00.000000
143,E06000040,Windsor and Maidenhead,10,2020-03-19 13:55:00.000000
144,E08000015,Wirral,8,2020-03-19 13:55:00.000000
145,E06000041,Wokingham,10,2020-03-19 13:55:00.000000
146,E08000031,Wolverhampton,22,2020-03-19 13:55:00.000000
147,E10000034,Worcestershire,5,2020-03-19 13:55:00.000000
148,E06000014,York,4,2020-03-19 13:55:00.000000